Year,Product,HS Code,Country,Country ISO,Imports,Exports,Trade Volume
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,China,CHN,899192586.5,2151895405,3051087992
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,"China, Hong Kong SAR",HKG,79337628.9,642816116.5,722153745.4
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Indonesia,IDN,546627264.8,1310825048,1857452313
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Japan,JPN,981895579.7,879955208.7,1861850788
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Malaysia,MYS,781537795,1142860319,1924398114
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Rep. of Korea,KOR,183452026.5,816117864.1,999569890.6
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Saudi Arabia,SAU,1060323.964,59836144.8,60896468.76
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Thailand,THA,118639817.4,502586628.8,621226446.2
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,USA,USA,3576649684,2509212513,6085862197
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Australia,AUS,104913921.9,523203732.9,628117654.8
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Germany,DEU,834885888.2,696453977.9,1531339866
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,India,IND,118466071.4,596038291.4,714504362.8
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Philippines,PHL,42501899.02,164270243.5,206772142.5
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,United Arab Emirates,ARE,11317834.41,123914478.9,135232313.3
2013,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90,Viet Nam,VNM,56652028.03,253291753.1,309943781.1
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,India,IND,219235396,2281123337,2500358733
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Philippines,PHL,4153905349,2046662069,6200567418
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,United Arab Emirates,ARE,73578243.03,706649125.1,780227368.1
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Viet Nam,VNM,867942015.4,2898280841,3766222856
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Australia,AUS,99282680.65,930021900.9,1029304582
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Germany,DEU,2505138670,2503900439,5009039109
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,China,CHN,17173528103,21601181526,38774709629
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,"China, Hong Kong SAR",HKG,693841923.8,26381326542,27075168466
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Indonesia,IDN,2243684116,6146124140,8389808256
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Japan,JPN,4772986908,7469642597,12242629505
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Malaysia,MYS,12538054952,12217356871,24755411823
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Rep. of Korea,KOR,12741596437,7857846880,20599443317
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Saudi Arabia,SAU,1062144.441,121090329.5,122152473.9
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,Thailand,THA,1660285246,4927526304,6587811550
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85,USA,USA,6242365433,7531051294,13773416727
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,China,CHN,9550011932,5085453004,14635464936
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,"China, Hong Kong SAR",HKG,437351918.8,3728447371,4165799290
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Indonesia,IDN,1818225816,7297607178,9115832994
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Japan,JPN,4654146342,2666840665,7320987007
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Malaysia,MYS,3950526850,5761689065,9712215915
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Rep. of Korea,KOR,1040312709,1854538593,2894851302
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Saudi Arabia,SAU,4840465.346,305182881.6,310023346.9
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Thailand,THA,1636157169,3259614269,4895771438
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,USA,USA,11755659751,5753397103,17509056854
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,United Arab Emirates,ARE,63708578.1,1243511033,1307219611
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Viet Nam,VNM,300088864.5,1241876059,1541964924
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Australia,AUS,353960700.5,2196540503,2550501204
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Germany,DEU,2773533693,1149227821,3922761514
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,India,IND,277847156.4,2279991631,2557838787
2013,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84,Philippines,PHL,262299854.4,1147326080,1409625934
2013,Metal; miscellaneous products of base metal,83,China,CHN,137520774,30595158.02,168115932
2013,Metal; miscellaneous products of base metal,83,"China, Hong Kong SAR",HKG,19428415.88,30525307.28,49953723.16
2013,Metal; miscellaneous products of base metal,83,Indonesia,IDN,12972905.33,102945147.7,115918053
2013,Metal; miscellaneous products of base metal,83,Japan,JPN,28708606.68,3843890.144,32552496.82
2013,Metal; miscellaneous products of base metal,83,Malaysia,MYS,43830524.38,83527204.22,127357728.6
2013,Metal; miscellaneous products of base metal,83,Rep. of Korea,KOR,17001723.23,9326187.452,26327910.68
2013,Metal; miscellaneous products of base metal,83,Saudi Arabia,SAU,13981.231,1354929.589,1368910.82
