Country Code,Year,GDP,GDP_normalized
CHN,1960,59716249311.0,0.11017981787637757
HKG,1960,1320796652.0,0.0024369436501478813
JPN,1960,47419238274.0,0.08749114515977262
KOR,1960,3958811881.0,0.007304229202068677
MYS,1960,1916229477.0,0.003535550494567233
SAU,1960,1748124064.0,0.003225386611167385
SGP,1960,704751700.3,0.0013003062798322474
THA,1960,2760750861.0,0.0050937396533877995
USA,1960,541989000000.0,1.0
CHN,1961,50056685957.0,0.08907834636616009
HKG,1961,1383681651.0,0.00246232987685518
JPN,1961,57266758180.0,0.10190902619496743
KOR,1961,2417628737.0,0.0043022898120795815
MYS,1961,1901856123.0,0.003384446956970495
SAU,1961,1920811284.0,0.003418178602697797
SGP,1961,764629788.1,0.0013606964944656013
THA,1961,3034037811.0,0.005399220221020038
USA,1961,561940000000.0,1.0
CHN,1962,47209186415.0,0.07820764797337482
HKG,1962,1612346412.0,0.0026710441373072316
JPN,1962,64987857542.0,0.10766013717138886
KOR,1962,2814615385.0,0.004662746086651128
MYS,1962,2001489602.0,0.003315706244957665
SAU,1962,2130606532.0,0.003529603839380822
SGP,1962,826239211.8,0.0013687638005496661
THA,1962,3308912797.0,0.00548160870487162
USA,1962,603639000000.0,1.0
CHN,1963,50706614526.0,0.07959484839865695
HKG,1963,1935298266.0,0.0030378634726139966
JPN,1963,74379284603.0,0.11675415401556213
KOR,1963,3988461538.0,0.006260741215491815
MYS,1963,2510110348.0,0.003940153656097787
SAU,1963,2207393172.0,0.003464974471752224
SGP,1963,917608012.5,0.0014403815227475006
THA,1963,3540403457.0,0.0055574184761537
USA,1963,637059000000.0,1.0
CHN,1964,59708125204.0,0.08727407962347163
HKG,1964,2206466461.0,0.0032251444664508255
JPN,1964,87490590818.0,0.12788311077037762
KOR,1964,3459019943.0,0.0050559748927493445
MYS,1964,2674423922.0,0.00390914780053936
SAU,1964,2371808713.0,0.0034668216723063093
SGP,1964,894153311.4,0.00130696462211958
THA,1964,3889129942.0,0.005684657407420942
USA,1964,684145000000.0,1.0
CHN,1965,70436008642.0,0.09493939067939966
HKG,1965,2435078534.0,0.003282197227407822
JPN,1965,97338107606.0,0.13120023130454708
KOR,1965,3120861499.0,0.0042065513765239485
MYS,1965,2956337669.0,0.0039847927551371135
SAU,1965,2647955558.0,0.0035691302228722005
SGP,1965,974644096.1,0.00131370471435022
