reporteriso3,hs6,partneriso3,mfn,prf,PTA,hs2,sector,broad_sectors,pfm,reporter_region,reporter_dev,reporter_wbgroup,partner_region,partner_dev,partner_wbgroup
CHN,400911,SGP,10.5,0.0,1,40,39-40  Plastics / Rubbers,Manufacturing,10.5,EAS,South,Upper middle income,EAS,North,High income
CHN,850433,SGP,5.0,0.0,1,85,84-85  Machinery / Electrical,Manufacturing,5.0,EAS,South,Upper middle income,EAS,North,High income
CHN,290723,SGP,5.5,0.0,1,29,28-38  Chemicals & Allied Industries ,Manufacturing,5.5,EAS,South,Upper middle income,EAS,North,High income
CHN,820420,SGP,10.0,0.0,1,82,72-83  Metals ,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
CHN,401699,SGP,9.0,0.0,1,40,39-40  Plastics / Rubbers,Manufacturing,9.0,EAS,South,Upper middle income,EAS,North,High income
CHN,900661,SGP,18.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,18.0,EAS,South,Upper middle income,EAS,North,High income
CHN,600634,SGP,10.0,0.0,1,60,50-63  Textiles,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
CHN,441820,SGP,4.0,0.0,1,44,44-49  Wood & Wood Products,Manufacturing,4.0,EAS,South,Upper middle income,EAS,North,High income
CHN,940389,SGP,0.0,0.0,1,94,90-97  Miscellaneous,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
CHN,901780,SGP,8.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,8.0,EAS,South,Upper middle income,EAS,North,High income
CHN,750512,SGP,6.0,0.0,1,75,72-83  Metals ,Manufacturing,6.0,EAS,South,Upper middle income,EAS,North,High income
CHN,570330,SGP,10.0,0.0,1,57,50-63  Textiles,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
CHN,847170,SGP,0.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,0.0,EAS,South,Upper middle income,EAS,North,High income
CHN,840991,SGP,5.1428571,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,5.1428571,EAS,South,Upper middle income,EAS,North,High income
CHN,840510,SGP,14.0,0.0,1,84,84-85  Machinery / Electrical,Manufacturing,14.0,EAS,South,Upper middle income,EAS,North,High income
CHN,381300,SGP,8.25,0.0,1,38,28-38  Chemicals & Allied Industries ,Manufacturing,8.25,EAS,South,Upper middle income,EAS,North,High income
CHN,821193,SGP,18.0,0.0,1,82,72-83  Metals ,Manufacturing,18.0,EAS,South,Upper middle income,EAS,North,High income
CHN,732620,SGP,14.0,0.0,1,73,72-83  Metals ,Manufacturing,14.0,EAS,South,Upper middle income,EAS,North,High income
CHN,340319,SGP,10.0,0.0,1,34,28-38  Chemicals & Allied Industries ,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
CHN,392590,SGP,10.0,0.0,1,39,39-40  Plastics / Rubbers,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
CHN,700490,SGP,17.5,0.0,1,70,68-71  Stone / Glass ,Manufacturing,17.5,EAS,South,Upper middle income,EAS,North,High income
CHN,540793,SGP,10.0,0.0,1,54,50-63  Textiles,Manufacturing,10.0,EAS,South,Upper middle income,EAS,North,High income
CHN,902710,SGP,7.0,0.0,1,90,90-97  Miscellaneous,Manufacturing,7.0,EAS,South,Upper middle income,EAS,North,High income
