Year,Imports,Exports,Trade Volume
2003,145301.8,155298.5,300600.3
2004,175426.4,185263.8,360690.2
2005,199711.8,209454.2,409166.0
2006,224477.6,242482.5,466960.1
2007,232730.5,246854.4,479584.9
2008,259100.2,246115.5,505215.7
2009,196095.1,205954.2,402049.3
2010,235203.0,254453.8,489656.8
2011,247985.3,263253.8,511239.1
2012,248834.7,269622.3,518457.0
2013,242874.6,276388.3,519262.9
2014,241491.5,281834.3,523325.8
2015,227834.7,271765.6,499600.3
2016,221626.8,260306.0,481932.8
2017,242949.4,293049.6,535999.0
2018,263540.9,305732.4,569273.3
2019,255258.3,299471.7,554730.0
2020,243415.8,303545.2,546961.0
2021,284672.4,352943.0,637615.4
2022,353444.2,383814.1,737258.3
2023,303755.3,355667.0,659422.3
2024,315839.8,379065.0,694904.8
