Country,year,Imports,Exports,IdealPointDistance,GDP_Lag1,Exchange Rate (per US$)_scaled,Adjusted_value,FTA_binary
China,2013,34321687954.8,44290501126.72,0.1365152,9570471111831.68,1.973491733812346,1.0,1.0
China,2014,34491595277.5,49599648682.07,0.3949956,10475624944355.2,1.9661936262708566,1.0,1.0
China,2015,32576608347.3,45901790510.95,0.4458884,11061572618578.7,1.9778916276985576,1.0,1.0
China,2016,31675356874.199997,39125783124.63,0.1780394,11233313730348.7,2.03398353475924,1.0,1.0
China,2017,37409606761.6,48097455621.979996,0.3921584,12310491333980.9,2.048821894263474,1.0,1.0
China,2018,41337391028.6,44048389049.14,0.0925188,13894907857880.6,2.0302456747053994,1.0,1.0
China,2019,41003623160.9,46369658012.36,0.1033765,14279968506271.7,2.067923590263856,1.0,1.0
China,2020,39659476466.89,46005130271.67,0.2360039,14687744162801.0,2.0669598774151035,1.0,1.0
China,2021,45502932077.8,60024257137.65,0.1090154,17820459508852.2,2.008076463197717,1.0,1.0
China,2022,52185272277.8,57396279442.99,0.7941708,17881782683707.3,2.046034451186349,1.0,1.0
China,2023,48355541655.2,57526290032.97,0.4848232,17794783039552.0,2.089886604464661,1.0,1.0
Indonesia,2013,14610930467.320002,36352786070.3,0.2901053,912524136718.018,9.255527863831839,1.0,1.0
Indonesia,2014,13948944707.7,31879221436.81,0.7029534,890814755511.014,9.381450253840221,1.0,1.0
Indonesia,2015,10919380251.869999,24121808739.56,0.3792409,860854232717.718,9.502294277642106,1.0,1.0
Indonesia,2016,10012159644.33,21498633400.79,0.3658469,931877364034.196,9.496220331597625,1.0,1.0
Indonesia,2017,10875225721.284,23092877092.16,0.2616989,1015618744168.08,9.50165338557568,1.0,1.0
Indonesia,2018,11092940372.9,27622290383.72,0.6424406,1042271532953.49,9.563665425191024,1.0,1.0
Indonesia,2019,11469495774.22,22174340711.16,0.374477,1119099871385.79,9.557376001843013,1.0,1.0
Indonesia,2020,10131964754.72,17053871368.54,0.5689626,1059054842711.55,9.587625698163716,1.0,1.0
Indonesia,2021,10685078706.106,23536526813.73,0.4697165,1186509691070.97,9.568654045463896,1.0,1.0
Indonesia,2022,13954160504.508,30380317694.56,0.5901754,1319076267291.51,9.605812646954638,1.0,1.0
Indonesia,2023,12361322327.474,29173297257.82,0.5126766,1371171152331.16,9.6315400177695,1.0,1.0
Japan,2013,31623490809.760002,25669873126.688,1.3578872,5212328181166.18,4.59102722696768,1.0,1.0
Japan,2014,31056224644.14,24388418790.584,1.3628016,4896994405353.29,4.672312635833755,1.0,1.0
