Partner,HS Code,HS_Section,Predicted Exports,Target Year
Australia,90.0,90,832161847.7260786,2024
Australia,85.0,85,4634757695.200518,2024
Australia,84.0,84,2832302205.41716,2024
Australia,83.0,83,65659969.13733051,2024
Australia,71.0,71,207326727.28335983,2024
Australia,39.0,39,344803680.73053586,2024
Australia,38.0,38,173853416.45556265,2024
Australia,33.0,33,127716047.51925343,2024
Australia,29.0,29,282377142.5171883,2024
Australia,27.0,27,559079401.8763472,2024
China,90.0,90,5465403185.694952,2024
China,85.0,85,20343463676.68457,2024
China,84.0,84,15635936916.444796,2024
China,83.0,83,107999145.00675914,2024
China,71.0,71,1633213187.8684757,2024
China,39.0,39,2069472657.9762733,2024
China,38.0,38,1429625458.3906357,2024
China,33.0,33,1553533510.8125665,2024
China,29.0,29,2959885958.7346206,2024
China,27.0,27,5841684276.645754,2024
Germany,90.0,90,116570677.72135,2024
Germany,85.0,85,1278516029.4773805,2024
Germany,84.0,84,1060343569.0636858,2024
Germany,83.0,83,65659969.13733051,2024
Germany,71.0,71,269656416.99753517,2024
Germany,39.0,39,230040975.3190333,2024
Germany,38.0,38,88754031.49844646,2024
Germany,33.0,33,65659969.13733051,2024
Germany,29.0,29,65659969.13733051,2024
Germany,27.0,27,159859347.03521883,2024
India,90.0,90,637059946.8733072,2024
India,85.0,85,4221657012.0570326,2024
India,84.0,84,2450003461.933995,2024
India,83.0,83,65659969.13733051,2024
India,71.0,71,302969492.47628546,2024
India,39.0,39,414384675.7438099,2024
India,38.0,38,274729794.3153225,2024
India,33.0,33,245574685.92272827,2024
India,29.0,29,301176455.9187539,2024
India,27.0,27,625503993.8158283,2024
Indonesia,90.0,90,2972292392.653113,2024
Indonesia,85.0,85,12698818863.813137,2024
Indonesia,84.0,84,7600831308.139449,2024
Indonesia,83.0,83,65659969.13733051,2024
Indonesia,71.0,71,1069616938.1559012,2024
Indonesia,39.0,39,1415390230.8941855,2024
Indonesia,38.0,38,767251221.3161944,2024
Indonesia,33.0,33,470667097.9617051,2024
Indonesia,29.0,29,910467563.2273952,2024
Indonesia,27.0,27,2105841481.864253,2024
Japan,90.0,90,703658850.8498665,2024
Japan,85.0,85,3818795317.1419606,2024
Japan,84.0,84,3347946899.669124,2024
Japan,83.0,83,65659969.13733051,2024
Japan,71.0,71,413801220.488909,2024
Japan,39.0,39,453976837.5035489,2024
Japan,38.0,38,195759681.4108363,2024
Japan,33.0,33,163970650.59241018,2024
Japan,29.0,29,379749654.7621263,2024
Japan,27.0,27,788144777.2715707,2024
Malaysia,90.0,90,1651612690.541144,2024
Malaysia,85.0,85,8930183831.857573,2024
Malaysia,84.0,84,6684804522.619188,2024
Malaysia,83.0,83,65659969.13733051,2024
Malaysia,71.0,71,742433555.6107591,2024
Malaysia,39.0,39,987283033.6548257,2024
Malaysia,38.0,38,546274070.8280401,2024
Malaysia,33.0,33,323051830.8687847,2024
Malaysia,29.0,29,481574410.85901654,2024
Malaysia,27.0,27,1050562395.0714586,2024
Philippines,90.0,90,625584098.2033244,2024
Philippines,85.0,85,2650722059.928781,2024
Philippines,84.0,84,2388573391.3725505,2024
Philippines,83.0,83,65659969.13733051,2024
Philippines,71.0,71,239591635.12799528,2024
Philippines,39.0,39,207926740.98520622,2024
Philippines,38.0,38,104821454.88540763,2024
Philippines,33.0,33,83107032.77318765,2024
Philippines,29.0,29,260141284.88743776,2024
Philippines,27.0,27,466937439.4108939,2024
Saudi Arabia,90.0,90,66186414.427962855,2024
Saudi Arabia,85.0,85,558271471.6855335,2024
Saudi Arabia,84.0,84,326206564.85300285,2024
Saudi Arabia,83.0,83,65659969.13733051,2024
Saudi Arabia,71.0,71,65659969.13733051,2024
Saudi Arabia,39.0,39,65659969.13733051,2024
Saudi Arabia,38.0,38,65659969.13733051,2024
Saudi Arabia,33.0,33,65659969.13733051,2024
Saudi Arabia,29.0,29,65659969.13733051,2024
Saudi Arabia,27.0,27,65659969.13733051,2024
South Korea,90.0,90,979540780.415305,2024
South Korea,85.0,85,3000386946.078366,2024
South Korea,84.0,84,2847926243.3288417,2024
South Korea,83.0,83,65659969.13733051,2024
South Korea,71.0,71,375381230.9620716,2024
South Korea,39.0,39,220580431.30269644,2024
South Korea,38.0,38,80349524.25227033,2024
South Korea,33.0,33,106771365.08969651,2024
South Korea,29.0,29,582804226.9759107,2024
South Korea,27.0,27,1529686842.5002508,2024
Thailand,90.0,90,1028491263.7546194,2024
Thailand,85.0,85,3564793198.1024575,2024
Thailand,84.0,84,2604007177.270422,2024
Thailand,83.0,83,65659969.13733051,2024
Thailand,71.0,71,318702593.5803424,2024
Thailand,39.0,39,439642602.28008527,2024
Thailand,38.0,38,284459102.17863333,2024
Thailand,33.0,33,232635468.38194388,2024
Thailand,29.0,29,431242043.6605601,2024
Thailand,27.0,27,1123118407.124725,2024
United Arab Emirates,90.0,90,482220622.210375,2024
United Arab Emirates,85.0,85,2009093713.5349195,2024
United Arab Emirates,84.0,84,987551577.4951814,2024
United Arab Emirates,83.0,83,65659969.13733051,2024
United Arab Emirates,71.0,71,172423064.2957501,2024
United Arab Emirates,39.0,39,314222490.40670985,2024
