Partner,HS Code,HS_Section,Predicted Exports,Target Year
Australia,90.0,90,829908562.9054497,2024
Australia,85.0,85,4620659831.402699,2024
Australia,84.0,84,2823823865.0252566,2024
Australia,83.0,83,65659969.13733051,2024
Australia,71.0,71,206718582.6454246,2024
Australia,39.0,39,343834516.70311946,2024
Australia,38.0,38,173368941.40519026,2024
Australia,33.0,33,127355680.21929239,2024
Australia,29.0,29,281585997.4831989,2024
Australia,27.0,27,557509066.57229,2024
China,90.0,90,5448009459.964121,2024
China,85.0,85,20265019443.651176,2024
China,84.0,84,15575576386.159683,2024
China,83.0,83,107630169.00902241,2024
China,71.0,71,1627499178.8198855,2024
China,39.0,39,2062101824.4402874,2024
China,38.0,38,1424636500.0952792,2024
China,33.0,33,1548404045.2202709,2024
China,29.0,29,2949996679.5089774,2024
China,27.0,27,5821877431.340352,2024
Germany,90.0,90,116005903.45963198,2024
Germany,85.0,85,1273860472.7736495,2024
Germany,84.0,84,1056410824.9278748,2024
Germany,83.0,83,65659969.13733051,2024
Germany,71.0,71,268842907.33881366,2024
Germany,39.0,39,229324795.6254385,2024
Germany,38.0,38,88471413.69456792,2024
Germany,33.0,33,65659969.13733051,2024
Germany,29.0,29,65659969.13733051,2024
Germany,27.0,27,159300082.44281447,2024
India,90.0,90,635130201.1484303,2024
India,85.0,85,4207218602.5500107,2024
India,84.0,84,2441368001.4362836,2024
India,83.0,83,65659969.13733051,2024
India,71.0,71,302013592.55191284,2024
India,39.0,39,413079804.3641096,2024
India,38.0,38,273884440.188132,2024
India,33.0,33,244841891.00367752,2024
India,29.0,29,300244701.0263911,2024
India,27.0,27,623490412.7355673,2024
Indonesia,90.0,90,2962287392.84144,2024
Indonesia,85.0,85,12655514580.391256,2024
Indonesia,84.0,84,7574468761.916404,2024
Indonesia,83.0,83,65659969.13733051,2024
Indonesia,71.0,71,1066265515.4822751,2024
Indonesia,39.0,39,1411016831.6660101,2024
Indonesia,38.0,38,764907121.7411473,2024
Indonesia,33.0,33,469193435.25949985,2024
Indonesia,29.0,29,907607418.0516099,2024
Indonesia,27.0,27,2099160137.683526,2024
Japan,90.0,90,701890665.0387192,2024
Japan,85.0,85,3805858413.58216,2024
Japan,84.0,84,3336865830.4188366,2024
Japan,83.0,83,65659969.13733051,2024
Japan,71.0,71,412585326.7984617,2024
Japan,39.0,39,452626525.6041639,2024
Japan,38.0,38,195165387.38954577,2024
Japan,33.0,33,163474962.9255587,2024
Japan,29.0,29,378617648.4034866,2024
Japan,27.0,27,785798038.7019484,2024
Malaysia,90.0,90,1647334901.9801145,2024
Malaysia,85.0,85,8905623953.577837,2024
Malaysia,84.0,84,6666593236.709241,2024
Malaysia,83.0,83,65659969.13733051,2024
Malaysia,71.0,71,740625852.9930564,2024
Malaysia,39.0,39,984882800.0824351,2024
Malaysia,38.0,38,544977447.5563654,2024
Malaysia,33.0,33,322265370.31961876,2024
Malaysia,29.0,29,480347365.95881456,2024
Malaysia,27.0,27,1047829160.9964006,2024
Philippines,90.0,90,623594291.4523665,2024
Philippines,85.0,85,2642214769.7353635,2024
Philippines,84.0,84,2381159248.737516,2024
Philippines,83.0,83,65659969.13733051,2024
Philippines,71.0,71,238913936.327565,2024
Philippines,39.0,39,207318199.81184977,2024
Philippines,38.0,38,104510641.28202651,2024
Philippines,33.0,33,82860397.13577531,2024
Philippines,29.0,29,259407501.52264664,2024
Philippines,27.0,27,465600711.62357485,2024
Saudi Arabia,90.0,90,65890044.78062888,2024
Saudi Arabia,85.0,85,556158794.3424578,2024
Saudi Arabia,84.0,84,324964615.4157342,2024
Saudi Arabia,83.0,83,65659969.13733051,2024
Saudi Arabia,71.0,71,65659969.13733051,2024
Saudi Arabia,39.0,39,65659969.13733051,2024
Saudi Arabia,38.0,38,65659969.13733051,2024
Saudi Arabia,33.0,33,65659969.13733051,2024
Saudi Arabia,29.0,29,65659969.13733051,2024
Saudi Arabia,27.0,27,65659969.13733051,2024
South Korea,90.0,90,976345606.439135,2024
South Korea,85.0,85,2990556102.183509,2024
South Korea,84.0,84,2838793589.1903205,2024
South Korea,83.0,83,65659969.13733051,2024
South Korea,71.0,71,374345149.389959,2024
South Korea,39.0,39,219924557.7693885,2024
South Korea,38.0,38,80095419.84420587,2024
South Korea,33.0,33,106444785.29090443,2024
South Korea,29.0,29,581228431.7717173,2024
South Korea,27.0,27,1525745866.7792587,2024
Thailand,90.0,90,1024821542.3757044,2024
Thailand,85.0,85,3553722618.6781616,2024
Thailand,84.0,84,2595815101.031293,2024
Thailand,83.0,83,65659969.13733051,2024
Thailand,71.0,71,317825247.057156,2024
Thailand,39.0,39,438417883.8126386,2024
Thailand,38.0,38,283697069.7781129,2024
Thailand,33.0,33,232027039.0351867,2024
Thailand,29.0,29,430083525.7582908,2024
Thailand,27.0,27,1120143978.8150458,2024
United Arab Emirates,90.0,90,480451704.34937304,2024
United Arab Emirates,85.0,85,2002600895.2647479,2024
United Arab Emirates,84.0,84,984194745.0278581,2024
United Arab Emirates,83.0,83,65659969.13733051,2024
United Arab Emirates,71.0,71,171913726.5285051,2024
United Arab Emirates,39.0,39,313327157.78637785,2024
United Arab Emirates,38.0,38,143568037.0257088,2024
United Arab Emirates,33.0,33,91216583.63971196,2024
United Arab Emirates,29.0,29,130822515.83267938,2024
United Arab Emirates,27.0,27,431881251.9209358,2024
United States of America,90.0,90,1630838322.47449,2024
United States of America,85.0,85,11569680541.783781,2024
United States of America,84.0,84,12257801651.918589,2024
United States of America,83.0,83,74661885.91321912,2024
United States of America,71.0,71,1201864933.8939755,2024
United States of America,39.0,39,1165613354.9605558,2024
United States of America,38.0,38,447237445.7495598,2024
United States of America,33.0,33,368589106.87081087,2024
United States of America,29.0,29,802406877.8154522,2024
United States of America,27.0,27,2965555640.852108,2024
Australia,All Products,All,10030425013.499252,2024
China,All Products,All,56830751118.20905,2024
Germany,All Products,All,3389196307.6747823,2024
India,All Products,All,9506931616.141846,2024
Indonesia,All Products,All,29976081164.170498,2024
Japan,All Products,All,10298542768.000212,2024
Malaysia,All Products,All,21406140059.311214,2024
Philippines,All Products,All,7071239666.766014,2024
Saudi Arabia,All Products,All,1406633238.5001345,2024
South Korea,All Products,All,9759139477.795729,2024
Thailand,All Products,All,10062213975.47892,2024
United Arab Emirates,All Products,All,4815636586.513228,2024
United States of America,All Products,All,32484249762.23254,2024
