Partner,HS_Section,Raw_Predicted_Import_2024
Australia,90,70995612.32
Australia,85,70995612.32
Australia,83,2063191.252
Australia,71,1896520203
Australia,39,16705744.22
Australia,38,5689888.451
Australia,33,24983705.48
Australia,29,7888070.51
Australia,27,2572813115
China,90,1172621282
China,85,10728934242
China,83,162889127.4
China,71,324910791.1
China,39,799093064.9
China,38,511804842.6
China,33,117199955.1
China,29,5483435482
China,27,5483435482
Germany,90,1131510200
Germany,85,1983567162
Germany,83,26008366.8
Germany,71,71630344.37
Germany,39,198477910.3
Germany,38,198477910.3
Germany,33,65010654.13
Germany,29,175388290
Germany,27,26008366.8
India,90,162889127.4
India,85,306550667.3
India,83,5689888.451
India,71,799093064.9
India,39,117199955.1
India,38,70995612.32
India,33,46978654.79
India,29,573917799.1
India,27,2384333359
Indonesia,90,301833633.8
Indonesia,85,5069022475
Indonesia,83,11380439.85
Indonesia,71,1172621282
Indonesia,39,141903655.8
Indonesia,38,173817979.5
Indonesia,33,71630344.37
Indonesia,29,70995612.32
Indonesia,27,3640068951
Japan,90,799093064.9
Japan,85,5483435482
Japan,83,16312103.19
Japan,71,2277796586
Japan,39,324910791.1
Japan,38,511804842.6
Japan,33,511804842.6
Japan,29,306550667.3
Japan,27,1896520203
Malaysia,90,1896520203
Malaysia,85,10728934242
Malaysia,83,70995612.32
Malaysia,71,1172621282
Malaysia,39,982787570.1
Malaysia,38,306550667.3
Malaysia,33,71630344.37
Malaysia,29,306550667.3
Malaysia,27,8480627556
Philippines,90,155425595.6
Philippines,85,3640068951
Philippines,83,1684402.522
Philippines,71,7888070.51
Philippines,39,11380439.85
Philippines,38,3025656.275
Philippines,33,16312103.19
Philippines,29,26008366.8
Philippines,27,104858592.9
Saudi Arabia,90,1358871.657
Saudi Arabia,85,8750912.845
Saudi Arabia,83,140200.511
Saudi Arabia,71,5689888.451
Saudi Arabia,39,1465815093
Saudi Arabia,38,24983705.48
Saudi Arabia,33,1061502.783
Saudi Arabia,29,427340818.5
Saudi Arabia,27,4261667953
South Korea,90,173817979.5
South Korea,85,10728934242
South Korea,83,14593864.88
South Korea,71,511804842.6
South Korea,39,178967622.9
South Korea,38,232164257.3
South Korea,33,258479518.8
South Korea,29,194786689.4
South Korea,27,4261667953
Thailand,90,141903655.8
Thailand,85,4820574473
Thailand,83,11380439.85
Thailand,71,1172621282
Thailand,39,141903655.8
Thailand,38,27736276.46
Thailand,33,71630344.37
Thailand,29,117199955.1
Thailand,27,1896520203
United Arab Emirates,90,16705744.22
United Arab Emirates,85,26008366.8
United Arab Emirates,83,138867.0255
United Arab Emirates,71,1131510200
United Arab Emirates,39,13116060.62
United Arab Emirates,38,7888070.51
United Arab Emirates,33,27736276.46
United Arab Emirates,29,3025656.275
United Arab Emirates,27,8480627556
United States of America,90,3640068951
United States of America,85,3640068951
United States of America,83,70995612.32
United States of America,71,799093064.9
United States of America,39,1172621282
United States of America,38,1172621282
United States of America,33,511804842.6
United States of America,29,573917799.1
United States of America,27,8196356566
