Partner,HS Code,HS_Section,Predicted Imports,Target Year
China,38.0,38,1432731043.2678387,2024
China,85.0,85,13715582019.849747,2024
China,33.0,33,750261648.3749663,2024
China,84.0,84,7153884400.85101,2024
China,83.0,83,84777699.970468,2024
China,27.0,27,51637945343.83078,2024
China,71.0,71,3224498370.384621,2024
China,90.0,90,1021445325.9619962,2024
China,29.0,29,1680866741.131572,2024
China,39.0,39,5030895077.374924,2024
Indonesia,38.0,38,99357949.43455262,2024
Indonesia,85.0,85,1535991948.0968277,2024
Indonesia,33.0,33,95065246.08119562,2024
Indonesia,84.0,84,1194102397.4975054,2024
Indonesia,83.0,83,11000468.811207142,2024
Indonesia,27.0,27,4450817426.981133,2024
Indonesia,71.0,71,403112533.7430888,2024
Indonesia,90.0,90,283756569.8856643,2024
Indonesia,29.0,29,319941097.1423602,2024
Indonesia,39.0,39,301508806.8216619,2024
Japan,38.0,38,176595225.43387756,2024
Japan,85.0,85,2260346232.0124955,2024
Japan,33.0,33,108201959.48089063,2024
Japan,84.0,84,1901492284.8433006,2024
Japan,83.0,83,15948132.914422708,2024
Japan,27.0,27,5143624694.453145,2024
Japan,71.0,71,300063642.3772529,2024
Japan,90.0,90,251711432.958373,2024
Japan,29.0,29,389731636.5068584,2024
Japan,39.0,39,464675209.4318972,2024
Malaysia,38.0,38,225895803.61258334,2024
Malaysia,85.0,85,2639080330.498729,2024
Malaysia,33.0,33,160024902.3401098,2024
Malaysia,84.0,84,1524569601.7603304,2024
Malaysia,83.0,83,16744760.382897528,2024
Malaysia,27.0,27,9077402128.660051,2024
Malaysia,71.0,71,738419500.470543,2024
Malaysia,90.0,90,350336901.0923606,2024
Malaysia,29.0,29,545146132.8714008,2024
Malaysia,39.0,39,621242970.1159053,2024
Saudi Arabia,38.0,38,126158674.68539178,2024
Saudi Arabia,85.0,85,930688426.4484794,2024
Saudi Arabia,33.0,33,8910621.464199513,2024
Saudi Arabia,84.0,84,67771451.36269394,2024
Saudi Arabia,83.0,83,732430.7107942394,2024
Saudi Arabia,27.0,27,321762550.4114287,2024
Saudi Arabia,71.0,71,108945288.11560376,2024
Saudi Arabia,90.0,90,33836560.024057254,2024
Saudi Arabia,29.0,29,17167497.038521137,2024
Saudi Arabia,39.0,39,100226484.55961366,2024
South Korea,38.0,38,156440557.22140366,2024
South Korea,85.0,85,2266754836.969476,2024
South Korea,33.0,33,170543328.79938686,2024
South Korea,84.0,84,2421789079.8297634,2024
South Korea,83.0,83,17195089.56597865,2024
South Korea,27.0,27,6280220289.874086,2024
South Korea,71.0,71,545696172.6163397,2024
South Korea,90.0,90,276380551.685556,2024
South Korea,29.0,29,290031857.69306606,2024
South Korea,39.0,39,434396459.6746162,2024
Thailand,38.0,38,54856720.61892111,2024
Thailand,85.0,85,641410245.7824118,2024
Thailand,33.0,33,45608530.665762186,2024
Thailand,84.0,84,701430806.6646872,2024
Thailand,83.0,83,7165571.105713358,2024
Thailand,27.0,27,2868369769.088776,2024
Thailand,71.0,71,200558046.01494244,2024
Thailand,90.0,90,152821534.32657775,2024
Thailand,29.0,29,147441865.03148073,2024
Thailand,39.0,39,180812621.91845343,2024
United States of America,38.0,38,788904735.8077955,2024
United States of America,85.0,85,12206484701.529045,2024
United States of America,33.0,33,400900697.5723693,2024
United States of America,84.0,84,6274693635.682146,2024
United States of America,83.0,83,86504165.90140538,2024
United States of America,27.0,27,35162505071.14797,2024
United States of America,71.0,71,2241224206.287473,2024
United States of America,90.0,90,963749303.0864183,2024
