ReporterName,PartnerName,ProductCode,Year,TradeValue in 1000 USD_Export,TradeValue in 1000 USD_Import,Total_Trade,HS Code,4 digit categories,Product descriptions
Singapore,"Korea, Rep.",41,2023,1562.807,134.582,1697.3890000000001,41.0,4101 - 4115,Raw hides and skins (other than furskins) and leather
Singapore,"Korea, Rep.",89,2023,5074.996,1292.931,6367.927,89.0,8901 - 8908,"Ships, boats and floating structures"
Singapore,"Korea, Rep.",95,2023,3549.874,10230.842,13780.716,95.0,9501 - 9508,"Toys, games and sports requisites; parts and accessories thereof"
Singapore,"Korea, Rep.",94,2023,15757.408,10683.845,26441.252999999997,94.0,9401 - 9406,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings"
Singapore,"Korea, Rep.",93,2023,13.097,,13.097,93.0,9301 - 9307,Arms and ammunition; parts and accessories thereof
Singapore,"Korea, Rep.",92,2023,178.001,249.972,427.973,92.0,9201 - 9209,Musical instruments; parts and accessories of such articles
Singapore,"Korea, Rep.",91,2023,14930.408,238.824,15169.232,91.0,9101 - 9114,Clocks and watches and parts thereof
Singapore,"Korea, Rep.",90,2023,1159851.347,163549.475,1323400.8220000002,90.0,9001 - 9033,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof"
Singapore,"Korea, Rep.",88,2023,275817.364,39404.488,315221.852,88.0,8801 - 8805,"Aircraft, spacecraft, and parts thereof"
Singapore,"Korea, Rep.",97,2023,29155.728,11988.735,41144.463,97.0,9701 - 9706,"Works of art, collectors' pieces, and antiques"
Singapore,"Korea, Rep.",87,2023,31692.156,81555.518,113247.674,87.0,8701 - 8716,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof"
Singapore,"Korea, Rep.",86,2023,83.361,121.068,204.429,86.0,8601 - 8609,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds"
Singapore,"Korea, Rep.",85,2023,7974880.178,16189169.93,24164050.108,85.0,8501 - 8548,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
Singapore,"Korea, Rep.",84,2023,4659711.365,1647564.004,6307275.369,84.0,8401 - 8487,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
Singapore,"Korea, Rep.",83,2023,6768.453,13400.039,20168.492000000002,83.0,8301 - 8311,Miscellaneous articles of base metal
Singapore,"Korea, Rep.",82,2023,30556.115,7949.792,38505.907,82.0,8201 - 8215,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"
Singapore,"Korea, Rep.",96,2023,16166.35,3699.005,19865.355,96.0,9601 - 9618,Miscellaneous manufactured articles
Singapore,"Korea, Rep.",99,2023,532560.324,409612.091,942172.415,,,
Singapore,"Korea, Rep.",80,2023,9413.031,2383.524,11796.555,80.0,8001 - 8007,Tin and articles thereof
Singapore,Malaysia,9,2023,24710.713,45011.275,69721.988,9.0,0901 - 0910,"Coffee, tea, mate and spices"
Singapore,Malaysia,15,2023,49996.82,968751.966,1018748.786,15.0,1501 - 1522,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
Singapore,Malaysia,14,2023,7.441,1721.555,1728.996,14.0,1401 - 1404,Vegetable plaiting materials; vegetable products not elsewhere specified or included
Singapore,Malaysia,13,2023,4412.308,1851.285,6263.593,13.0,1301 - 1302,"Lac; gums, resins and other vegetable saps and extracts"
