Year,Product,HS Code,Country,Imports,Exports,Trade Volume
2013,Other Chemicals,38.0,China,297608723.6,957377667.1,1254986390.7
2013,Organic Chemicals,29.0,China,806879075.4,2939184017.0,3746063092.4
2013,Optical & Medical Instruments,90.0,Thailand,118639817.4,502586628.8,621226446.2
2013,Optical & Medical Instruments,90.0,Saudi Arabia,1060323.964,59836144.8,60896468.764
2013,Optical & Medical Instruments,90.0,South Korea,183452026.5,816117864.1,999569890.6
2013,Optical & Medical Instruments,90.0,Malaysia,781537795.0,1142860319.0,1924398114.0
2013,Optical & Medical Instruments,90.0,Japan,981895579.7,879955208.7,1861850788.4
2013,Optical & Medical Instruments,90.0,Indonesia,546627264.8,1310825048.0,1857452312.8
2013,Optical & Medical Instruments,90.0,China,899192586.5,2151895405.0,3051087991.5
2013,Organic Chemicals,29.0,Indonesia,97951194.32,1440088475.0,1538039669.32
2013,Machinery & Boilers,84.0,United States,11755659751.0,5753397103.0,17509056854.0
2013,Machinery & Boilers,84.0,Saudi Arabia,4840465.346,305182881.6,310023346.94600004
2013,Machinery & Boilers,84.0,South Korea,1040312709.0,1854538593.0,2894851302.0
2013,Machinery & Boilers,84.0,Malaysia,3950526850.0,5761689065.0,9712215915.0
2013,Machinery & Boilers,84.0,Japan,4654146342.0,2666840665.0,7320987007.0
2013,Machinery & Boilers,84.0,Indonesia,1818225816.0,7297607178.0,9115832994.0
2013,Machinery & Boilers,84.0,China,9550011932.0,5085453004.0,14635464936.0
2013,Jewellery & Precious Metals,71.0,United States,893616922.6,342888153.7,1236505076.3
2013,Jewellery & Precious Metals,71.0,Thailand,172121883.5,360563707.3,532685590.8
2013,Machinery & Boilers,84.0,Thailand,1636157169.0,3259614269.0,4895771438.0
2013,Organic Chemicals,29.0,Japan,265468555.3,374240614.4,639709169.7
2013,Organic Chemicals,29.0,Malaysia,375270744.8,1104657878.0,1479928622.8
2013,Organic Chemicals,29.0,South Korea,164481587.7,552629261.7,717110849.4000001
2013,All Products,99.0,China,34321687954.8,44290501126.72,78612189081.51999
2013,All Products,99.0,Indonesia,14610930467.320002,36352786070.3,50963716537.62
2013,All Products,99.0,Japan,15811745404.88,12834936563.344,28646681968.224
2013,All Products,99.0,Malaysia,33323407671.53,44279212000.520004,77602619672.05
2013,All Products,99.0,Saudi Arabia,12838493783.618,983009819.94,13821503603.557999
2013,All Products,99.0,South Korea,22156949163.5,14332294082.052,36489243245.552
2013,All Products,99.0,Thailand,7709027223.05,12402923542.64,20111950765.69
2013,All Products,99.0,United States,29852001762.04,18921946564.76,48773948326.8
2013,Plastics,39.0,United States,1196633168.0,416916614.0,1613549782.0
2013,Plastics,39.0,Thailand,162683404.7,883973131.2,1046656535.9
2013,Plastics,39.0,Saudi Arabia,2014607135.0,62719334.7,2077326469.7
2013,Plastics,39.0,South Korea,235329679.4,274709435.0,510039114.4
2013,Plastics,39.0,Malaysia,842725633.4,1967288116.0,2810013749.4
2013,Plastics,39.0,Japan,507248360.5,487931303.1,995179663.6
2013,Plastics,39.0,Indonesia,167605477.5,1700407930.0,1868013407.5
2013,Plastics,39.0,China,585712112.5,4400439566.0,4986151678.5
2013,Organic Chemicals,29.0,United States,738669105.8,477487798.6,1216156904.4
2013,Organic Chemicals,29.0,Thailand,451013943.4,894814831.7,1345828775.1
2013,Organic Chemicals,29.0,Saudi Arabia,1263136167.0,13247839.41,1276384006.41
2013,Jewellery & Precious Metals,71.0,Saudi Arabia,3288903.483,6848317.577,10137221.06
2013,Jewellery & Precious Metals,71.0,South Korea,152285446.7,373230341.3,525515788.0
2013,Optical & Medical Instruments,90.0,United States,3576649684.0,2509212513.0,6085862197.0
2013,Jewellery & Precious Metals,71.0,Japan,1051892684.0,223773136.6,1275665820.6
2013,Cosmetics & Fragrances,33.0,Malaysia,54866184.05,301508051.8,356374235.85
2013,Cosmetics & Fragrances,33.0,Japan,204433102.3,286521615.2,490954717.5
2013,Cosmetics & Fragrances,33.0,Indonesia,57815950.57,458110589.2,515926539.77
2013,Cosmetics & Fragrances,33.0,China,105776387.7,447533797.6,553310185.3000001
2013,Electrical Equipment & AV Gear,85.0,United States,6242365433.0,7531051294.0,13773416727.0
2013,Electrical Equipment & AV Gear,85.0,Thailand,1660285246.0,4927526304.0,6587811550.0
2013,Electrical Equipment & AV Gear,85.0,South Korea,12741596437.0,7857846880.0,20599443317.0
2013,Electrical Equipment & AV Gear,85.0,Malaysia,12538054952.0,12217356871.0,24755411823.0
2013,Electrical Equipment & AV Gear,85.0,Japan,4772986908.0,7469642597.0,12242629505.0
2013,Electrical Equipment & AV Gear,85.0,Indonesia,2243684116.0,6146124140.0,8389808256.0
2013,Jewellery & Precious Metals,71.0,Malaysia,1259195481.0,2686687408.0,3945882889.0
2013,Electrical Equipment & AV Gear,85.0,China,17173528103.0,21601181526.0,38774709629.0
2013,Other Chemicals,38.0,United States,1238005664.0,306150474.1,1544156138.1
2013,Other Chemicals,38.0,Thailand,11205236.55,281834934.9,293040171.45
2013,Other Chemicals,38.0,Saudi Arabia,9272957.639,15719591.39,24992549.029
2013,Other Chemicals,38.0,South Korea,148456838.1,525212777.6,673669615.7
2013,Other Chemicals,38.0,Malaysia,308674755.9,467637440.5,776312196.4
2013,Other Chemicals,38.0,Japan,363365449.4,323361587.3,686727036.7
2013,Other Chemicals,38.0,Indonesia,274812860.8,405363016.4,680175877.2
2013,Cosmetics & Fragrances,33.0,South Korea,38150314.87,491938007.9,530088322.77
2013,Cosmetics & Fragrances,33.0,Saudi Arabia,749479.514,6038167.374,6787646.888
2013,Electrical Equipment & AV Gear,85.0,Saudi Arabia,1062144.441,121090329.5,122152473.941
2013,Cosmetics & Fragrances,33.0,United States,361060838.2,216383421.4,577444259.6
2013,Mineral Fuels & Oils,27.0,United States,3767205479.0,1345994919.0,5113200398.0
2013,Mineral Fuels & Oils,27.0,Thailand,3410934872.0,825561374.4,4236496246.4
2013,Mineral Fuels & Oils,27.0,Saudi Arabia,9540462226.0,390972284.0,9931434510.0
2013,Mineral Fuels & Oils,27.0,South Korea,7435882401.0,1576744734.0,9012627135.0
2013,Mineral Fuels & Oils,27.0,Malaysia,13168724751.0,18545999647.0,31714724398.0
2013,Mineral Fuels & Oils,27.0,Japan,2981599817.0,118825945.9,3100425762.9
2013,Cosmetics & Fragrances,33.0,Thailand,73493324.73,445577973.6,519071298.33
2013,Mineral Fuels & Oils,27.0,Indonesia,7997411122.0,13940617740.0,21938028862.0
2013,Jewellery & Precious Metals,71.0,China,649851776.1,1079020021.0,1728871797.1
2013,Mineral Fuels & Oils,27.0,China,4115606484.0,5597820965.0,9713427449.0
2013,Jewellery & Precious Metals,71.0,Indonesia,1393823760.0,3550696806.0,4944520566.0
2013,Base Metal Products,83.0,Thailand,12492325.77,20870387.74,33362713.51
2013,Base Metal Products,83.0,Saudi Arabia,13981.231,1354929.589,1368910.8199999998
2013,Base Metal Products,83.0,South Korea,17001723.23,9326187.452,26327910.682
2013,Base Metal Products,83.0,Malaysia,43830524.38,83527204.22,127357728.6
2013,Base Metal Products,83.0,Japan,28708606.68,3843890.144,32552496.824
2013,Base Metal Products,83.0,Indonesia,12972905.33,102945147.7,115918053.03
2013,Base Metal Products,83.0,China,137520774.0,30595158.02,168115932.02
2013,Base Metal Products,83.0,United States,82135716.44,22464273.96,104599990.4
2014,Optical & Medical Instruments,90.0,United States,3231533343.0,2655269006.0,5886802349.0
2014,Optical & Medical Instruments,90.0,Saudi Arabia,972327.744,74280008.14,75252335.884
2014,Optical & Medical Instruments,90.0,South Korea,137246784.1,850892910.9,988139695.0
2014,Optical & Medical Instruments,90.0,Malaysia,1021080649.0,1225414450.0,2246495099.0
2014,Organic Chemicals,29.0,China,980740230.6,3522237360.0,4502977590.6
2014,Optical & Medical Instruments,90.0,Japan,937714525.6,978128065.7,1915842591.3
2014,Organic Chemicals,29.0,Indonesia,160830464.0,1602155387.0,1762985851.0
2014,Optical & Medical Instruments,90.0,Thailand,128291093.9,535751331.1,664042425.0
2014,Optical & Medical Instruments,90.0,China,966645832.4,2427552791.0,3394198623.4
2014,Machinery & Boilers,84.0,United States,12008831597.0,5100157834.0,17108989431.0
2014,Machinery & Boilers,84.0,Thailand,1630815071.0,2828021344.0,4458836415.0
2014,Machinery & Boilers,84.0,Saudi Arabia,5175550.809,500144334.2,505319885.009
2014,Machinery & Boilers,84.0,South Korea,859278262.8,1891291968.0,2750570230.8
2014,Machinery & Boilers,84.0,Malaysia,3704007823.0,5524960263.0,9228968086.0
2014,Organic Chemicals,29.0,Japan,336381617.6,299050557.5,635432175.1
2014,Machinery & Boilers,84.0,Japan,4314884325.0,2670232678.0,6985117003.0
2014,Optical & Medical Instruments,90.0,Indonesia,477215252.0,1089600567.0,1566815819.0
2014,Organic Chemicals,29.0,South Korea,145241332.7,579241715.7,724483048.4000001
2014,All Products,99.0,Japan,15528112322.07,12194209395.292,27722321717.362
2014,Organic Chemicals,29.0,Thailand,422684779.1,934977919.5,1357662698.6
