Data Source,World Development Indicators,Year,Value
China,CHN,1960,2.461808899
"Hong Kong SAR, China",HKG,1960,5.714300005
Japan,JPN,1960,360.0000004
"Korea, Rep.",KOR,1960,63.125
Malaysia,MYS,1960,3.061220002
Saudi Arabia,SAU,1960,4.500000004
Singapore,SGP,1960,3.061220002
Thailand,THA,1960,21.18177353
United States,USA,1960,1.0
China,CHN,1961,2.461808899
"Hong Kong SAR, China",HKG,1961,5.714300005
Japan,JPN,1961,360.0000004
"Korea, Rep.",KOR,1961,124.7916667
Malaysia,MYS,1961,3.061220002
Saudi Arabia,SAU,1961,4.500000004
Singapore,SGP,1961,3.061220002
Thailand,THA,1961,21.05843958
United States,USA,1961,1.0
China,CHN,1962,2.461808899
"Hong Kong SAR, China",HKG,1962,5.714300005
Japan,JPN,1962,360.0000004
"Korea, Rep.",KOR,1962,130.0
Malaysia,MYS,1962,3.061220002
Saudi Arabia,SAU,1962,4.500000004
Singapore,SGP,1962,3.061220002
Thailand,THA,1962,20.88010535
United States,USA,1962,1.0
China,CHN,1963,2.461808899
"Hong Kong SAR, China",HKG,1963,5.714300005
Japan,JPN,1963,360.0000004
"Korea, Rep.",KOR,1963,130.0
Malaysia,MYS,1963,3.061220002
Saudi Arabia,SAU,1963,4.500000004
Singapore,SGP,1963,3.061220002
Thailand,THA,1963,20.83007886
United States,USA,1963,1.0
China,CHN,1964,2.461808899
"Hong Kong SAR, China",HKG,1964,5.714300005
Japan,JPN,1964,360.0000004
"Korea, Rep.",KOR,1964,213.8466667
Malaysia,MYS,1964,3.061220002
Saudi Arabia,SAU,1964,4.500000004
Singapore,SGP,1964,3.061220002
Thailand,THA,1964,20.80000002
United States,USA,1964,1.0
China,CHN,1965,2.461808899
"Hong Kong SAR, China",HKG,1965,5.714300005
Japan,JPN,1965,360.0000004
"Korea, Rep.",KOR,1965,266.27
Malaysia,MYS,1965,3.061220002
Saudi Arabia,SAU,1965,4.500000004
Singapore,SGP,1965,3.061220002
Thailand,THA,1965,20.80000002
United States,USA,1965,1.0
China,CHN,1966,2.461808899
"Hong Kong SAR, China",HKG,1966,5.714300005
Japan,JPN,1966,360.0000004
"Korea, Rep.",KOR,1966,271.1341667
Malaysia,MYS,1966,3.061220002
Saudi Arabia,SAU,1966,4.500000004
Singapore,SGP,1966,3.061220002
Thailand,THA,1966,20.80000002
United States,USA,1966,1.0
China,CHN,1967,2.461808899
"Hong Kong SAR, China",HKG,1967,5.743158338
Japan,JPN,1967,360.0000004
"Korea, Rep.",KOR,1967,270.5116667
Malaysia,MYS,1967,3.061220002
Saudi Arabia,SAU,1967,4.500000004
Singapore,SGP,1967,3.061220002
Thailand,THA,1967,20.80000002
United States,USA,1967,1.0
China,CHN,1968,2.461808899
"Hong Kong SAR, China",HKG,1968,6.060600005
Japan,JPN,1968,360.0000004
"Korea, Rep.",KOR,1968,276.6433333
Malaysia,MYS,1968,3.061220002
Saudi Arabia,SAU,1968,4.500000004
Singapore,SGP,1968,3.061220002
Thailand,THA,1968,20.80000002
United States,USA,1968,1.0
China,CHN,1969,2.461808899
"Hong Kong SAR, China",HKG,1969,6.060600005
Japan,JPN,1969,360.0000004
