typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","1185462651.266",,"1185462651.266","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","20130223.351",,"20130223.351","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","194725385.528",,"194725385.528","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","5948274393.975",,"5948274393.975","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","289872716.011",,"289872716.011","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","15329377270.625",,"15329377270.625","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","29","Organic chemicals","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","3938022.609",,"3938022.609","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","29","Organic chemicals","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","256516779.175",,"256516779.175","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","29","Organic chemicals","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","1532995.075",,"1532995.075","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","29","Organic chemicals","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","413133633.701",,"413133633.701","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","704","VNM","Viet Nam","0","W00","World","H4","HS","true","29","Organic chemicals","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false",,"false","3034653.651",,"3034653.651","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","784","ARE","United Arab Emirates","0","W00","World","H4","HS","true","29","Organic chemicals","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","40532166.08",,"40532166.08","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","20253872.738",,"20253872.738","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","276","DEU","Germany","0","W00","World","H4","HS","true","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","100101794.611",,"100101794.611","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","608","PHL","Philippines","0","W00","World","H4","HS","true","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","13948231.879",,"13948231.879","0","false","true",
"C","A","20130101","2013","52","2013","702","SGP","Singapore","M","Import","699","IND","India","0","W00","World","H4","HS","true","33","Essential oils and resinoids; perfumery, cosmetic or toilet preparations","2","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"true",,"false","72409463.225",,"72409463.225","0","false","true",
