Year,Country,Partner Country,FTA,FTA Weight,Other Agreements,Tariff %,Product Tariffed,Weight in Exports
2009,SGP,CHN,ACFTA,1,0.9,,,
2009,SGP,HKG,,0,0.9,,,
2009,SGP,JPN,AJCEP,1,0.9,,,
2009,SGP,KOR,,1,0.5,,,
2009,SGP,MYS,ASEAN,1,0.6,,,
2009,SGP,SAU,,0,0.4,,,
2009,SGP,THA,ASEAN,1,0.8,,,
2009,SGP,USA,,1,0.6,,,
2009,CHN,HKG,CEPA,1,0.5,,,
2009,CHN,JPN,,0,0.6,,,
2009,CHN,KOR,,0,0.2,,,
2009,CHN,MYS,ACFTA,1,0.9,,,
2009,CHN,SAU,,0,0.5,,,
2009,CHN,THA,ACFTA,1,0.9,,,
2009,CHN,USA,,0,0.4,35,Tyres,0.01
2009,HKG,JPN,,0,1,,,
2009,HKG,KOR,,0,1,,,
2009,HKG,MYS,,0,0.8,,,
2009,HKG,SAU,,0,0.5,,,
2009,HKG,THA,,1,,,,
2009,HKG,USA,,0,1,,,
2009,JPN,KOR,,0,1,,,
2009,JPN,MYS,,1,,,,
2009,JPN,SAU,,0,0.6,,,
2009,JPN,THA,,1,,,,
2009,JPN,USA,,0,0.5,,,
2009,KOR,MYS,,1,,,,
2009,KOR,SAU,,0,0.5,,,
2009,KOR,THA,,1,,,,
2009,KOR,USA,,0,0.5,,,
2009,MYS,SAU,,1,0.5,,,
2009,MYS,THA,ASEAN,1,,,,
2009,MYS,USA,,0,0.5,,,
2009,SAU,THA,,0,0.6,,,
2009,SAU,USA,,0,1,,,
2009,THA,USA,,0,0.6,,,
2009,IDN,CHN,,1,,,,
2009,IDN,HKG,,1,,,,
2009,IDN,JPN,,1,,,,
2009,IDN,KOR,,0,,,,
2009,IDN,MYS,,1,,,,
2009,IDN,SAU,,0,,,,
2009,IDN,THA,,1,,,,
2009,IDN,SG,,1,,,,
2009,IDN,USA,,0,,,,
2010,IDN,CHN,,1,,,,
2010,IDN,HKG,,1,,,,
2010,IDN,JPN,,1,,,,
2010,IDN,KOR,,0,,,,
2010,IDN,MYS,,1,,,,
2010,IDN,SAU,,0,,,,
2010,IDN,THA,,1,,,,
2010,IDN,SG,,1,,,,
2010,IDN,USA,,0,,,,
2010,SGP,CHN,,1,0.5,,,
2010,SGP,HKG,,0,0.5,,,
2010,SGP,JPN,,1,0.8,,,
2010,SGP,KOR,,1,0.8,,,
2010,SGP,MYS,ASEAN,1,1,,,
2010,SGP,SAU,,0,0.8,,,
2010,SGP,THA,ASEAN,1,1,,,
2010,SGP,USA,,1,0.8,,,
2010,CHN,HKG,,1,,,,
2010,CHN,JPN,,0,0.2,,,
2010,CHN,KOR,,0,0.2,,,
2010,CHN,MYS,ACFTA,1,1,,,
2010,CHN,SAU,,0,0.5,,,
2010,CHN,THA,ACFTA,1,1,,,
2010,CHN,USA,,0,0.4,,,
2010,HKG,JPN,,0,1,,,
2010,HKG,KOR,,0,1,,,
2010,HKG,MYS,,1,,,,
2010,HKG,SAU,,0,0.5,,,
2010,HKG,THA,,1,,,,
2010,HKG,USA,,0,1,,,
2010,JPN,KOR,,0,1,,,
2010,JPN,MYS,,1,,,,
2010,JPN,SAU,,0,0.6,,,
2010,JPN,THA,,1,,,,
2010,JPN,USA,,0,0.5,,,
2010,KOR,MYS,,1,,,,
2010,KOR,SAU,,0,0.5,,,
2010,KOR,THA,,1,,,,
2010,KOR,USA,,0,0.5,,,
2010,MYS,SAU,,1,0.5,,,
2010,MYS,THA,,1,,,,
2010,MYS,USA,,0,0.5,,,
2010,SAU,THA,,0,0.6,,,
2010,SAU,USA,,0,1,,,
2010,THA,USA,,0,0.6,,,
2011,SGP,CHN,,1,0.5,,,
2011,SGP,HKG,,0,0.5,,,
2011,SGP,JPN,,1,0.8,,,
2011,SGP,KOR,,1,0.8,,,
2011,SGP,MYS,ASEAN,1,1,,,
2011,SGP,SAU,,0,0.8,,,
2011,SGP,THA,ASEAN,1,0.8,,,
2011,SGP,USA,,1,0.8,,,
2011,CHN,HKG,,1,,,,
2011,CHN,JPN,,0,0.2,,,
2011,CHN,KOR,,0,0.2,,,
2011,CHN,MYS,ACFTA,1,,,,
2011,CHN,SAU,,0,0.5,,,
2011,CHN,THA,ACFTA,1,,,,
2011,CHN,USA,,0,0.4,,,
2011,HKG,JPN,,0,1,,,
2011,HKG,KOR,,0,1,,,
2011,HKG,MYS,,1,,,,
2011,HKG,SAU,,0,0.5,,,
2011,HKG,THA,,1,,,,
2011,HKG,USA,,0,1,,,
2011,JPN,KOR,,0,1,,,
2011,JPN,MYS,,1,,,,
2011,JPN,SAU,,0,0.6,,,
2011,JPN,THA,,1,,,,
2011,JPN,USA,,0,0.5,,,
2011,KOR,MYS,,1,,,,
2011,KOR,SAU,,0,0.5,,,
2011,KOR,THA,,1,,,,
2011,KOR,USA,,0,0.8,,,
2011,MYS,SAU,,1,0.5,,,
2011,MYS,THA,,1,,,,
2011,MYS,USA,,0,0.5,,,
2011,SAU,THA,,0,0.6,,,
2011,SAU,USA,,0,1,,,
2011,THA,USA,,0,0.6,,,
2011,IDN,CHN,,1,,,,
2011,IDN,HKG,,1,,,,
2011,IDN,JPN,,1,,,,
2011,IDN,KOR,,0,,,,
2011,IDN,MYS,,1,,,,
2011,IDN,SAU,,0,,,,
2011,IDN,THA,,1,,,,
2011,IDN,SG,,1,,,,
2011,IDN,USA,,0,,,,
2012,SGP,CHN,,1,0.5,,,
2012,SGP,HKG,,0,0.5,,,
2012,SGP,JPN,,1,0.8,,,
2012,SGP,KOR,,1,0.8,,,
2012,SGP,MYS,ASEAN,1,1,,,
2012,SGP,SAU,,0,0.8,,,
2012,SGP,THA,ASEAN,1,0.8,,,
2012,SGP,USA,,1,0.8,,,
2012,CHN,HKG,,1,,,,
2012,CHN,JPN,,0,0.2,,,
2012,CHN,KOR,,0,0.2,,,
2012,CHN,MYS,ACFTA,1,,,,
2012,CHN,SAU,,0,0.5,,,
2012,CHN,THA,ACFTA,1,,,,
2012,CHN,USA,,0,0.4,,,
2012,HKG,JPN,,0,1,,,
2012,HKG,KOR,,0,1,,,
2012,HKG,MYS,,1,,,,
2012,HKG,SAU,,0,0.5,,,
2012,HKG,THA,,1,,,,
2012,HKG,USA,,0,1,,,
2012,JPN,KOR,,0,1,,,
2012,JPN,MYS,,1,,,,
2012,JPN,SAU,,0,0.6,,,
2012,JPN,THA,,1,,,,
2012,JPN,USA,,0,0.5,,,
2012,KOR,MYS,,1,,,,
2012,KOR,SAU,,0,0.5,,,
2012,KOR,THA,,1,,,,
2012,KOR,USA,,1,,,,
2012,MYS,SAU,,1,0.5,,,
2012,MYS,THA,,1,,,,
2012,MYS,USA,,0,0.5,,,
2012,SAU,THA,,0,0.6,,,
2012,SAU,USA,,0,1,,,
2012,THA,USA,,0,0.6,,,
2012,IDN,CHN,,1,,,,
2012,IDN,HKG,,1,,,,
2012,IDN,JPN,,1,,,,
2012,IDN,KOR,,1,,,,
2012,IDN,MYS,,1,,,,
2012,IDN,SAU,,0,,,,
2012,IDN,THA,,1,,,,
2012,IDN,SG,,1,,,,
2012,IDN,USA,,0,,,,
2013,SGP,CHN,,1,0.5,,,
2013,SGP,HKG,,0,0.5,,,
2013,SGP,JPN,,1,0.8,,,
2013,SGP,KOR,,1,0.8,,,
2013,SGP,MYS,ASEAN,1,1,,,
2013,SGP,SAU,,0,0.8,,,
2013,SGP,THA,ASEAN,1,0.8,,,
2013,SGP,USA,,1,0.8,,,
2013,CHN,HKG,,1,,,,
2013,CHN,JPN,,0,0.2,,,
2013,CHN,KOR,,0,0.2,,,
2013,CHN,MYS,ACFTA,1,,,,
