HS Code,4 digit categories,Product descriptions
1,0101 - 0106,Live animals
2,0201 - 0210,Meat and edible meat offal
3,0301 - 0307,"Fish and crustaceans, molluscs and other aquatic invertebrates"
4,0401 - 0410,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
5,0501 - 0511,"Products of animal origin, not elsewhere specified or included"
6,0601 - 0604,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
7,0701 - 0714,Edible vegetables and certain roots and tubers
8,0801 - 0814,Edible fruit and nuts; peel of citrus fruit or melons
9,0901 - 0910,"Coffee, tea, mate and spices"
10,1001 - 1008,Cereals
11,1101 - 1109,Products of the milling industry; malt; starches; inulin; wheat gluten
12,1201 - 1214,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants ; straw and fodder"
13,1301 - 1302,"Lac; gums, resins and other vegetable saps and extracts"
14,1401 - 1404,Vegetable plaiting materials; vegetable products not elsewhere specified or included
15,1501 - 1522,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
16,1601 - 1605,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"
17,1701 - 1704,Sugars and sugar confectionery
18,1801 - 1806,Cocoa and cocoa preparations
19,1901 - 1905,"Preparations of cereals, flour, starch or milk; pastrycooks' products"
20,2001 - 2009,"Preparations of vegetables, fruit, nuts or other parts of plants"
21,2101 - 2106,Miscellaneous edible preparations
22,2201 - 2209,"Beverages, spirits and vinegar"
23,2301 - 2309,Residues and waste from the food industries; prepared animal fodder
24,2401 - 2403,Tobacco and manufactured tobacco substitutes
25,2501 - 2530,"Salt; sulphur; earths and stone; plastering materials, lime and cement"
26,2601 - 2621,"Ores, slag and ash"
27,2701 - 2715,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
28,2801 - 2853,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"
29,2901 - 2942,Organic chemicals
30,3001 - 3006,Pharmaceutical products
31,3101 - 3105,Fertilisers
32,3201 - 3215,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints and varnishes; putty and other mastics; inks"
33,3301 - 3307,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
34,3401 - 3407,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ""dental waxes"" and dental preparations with a basis of plaster"
35,3501 - 3507,Albuminoidal substances; modified starches; glues; enzymes
36,3601 - 3606,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations
37,3701 - 3707,Photographic or cinematographic goods
38,3801 - 3825,Miscellaneous chemical products
39,3901 - 3926,Plastics and articles thereof
40,4001 - 4017,Rubber and articles thereof
41,4101 - 4115,Raw hides and skins (other than furskins) and leather
42,4201 - 4206,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
43,4301 - 4304,Furskins and artificial fur; manufactures thereof
44,4401 - 4421,Wood and articles of wood; wood charcoal
45,4501 - 4504,Cork and articles of cork
46,4601 - 4602,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"
47,4701 - 4707,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard
48,4801 - 4823,"Paper and paperboard; articles of paper pulp, of paper or of paperboard"
49,4901 - 4911,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
50,5001 - 5007,Silk
