Nomenclature,ReporterISO3,ProductCode,ReporterName,PartnerISO3,PartnerName,Year,TradeFlowName,TradeFlowCode,TradeValue in 1000 USD
H6,SGP,91,Singapore,MYS,Malaysia,2023,Export,6,477741.105
H6,SGP,91,Singapore,MYS,Malaysia,2023,Import,5,150488.293
H6,SGP,91,Singapore,SAU,Saudi Arabia,2022,Export,6,243.219
H6,SGP,91,Singapore,SAU,Saudi Arabia,2022,Import,5,0.381
H6,SGP,91,Singapore,SAU,Saudi Arabia,2023,Export,6,187.985
H6,SGP,91,Singapore,SAU,Saudi Arabia,2023,Import,5,1.641
H6,SGP,91,Singapore,THA,Thailand,2022,Export,6,298174.354
H6,SGP,91,Singapore,THA,Thailand,2022,Import,5,7995.193
H6,SGP,91,Singapore,THA,Thailand,2023,Export,6,338547.573
H6,SGP,91,Singapore,THA,Thailand,2023,Import,5,7295.793
H6,SGP,91,Singapore,USA,United States,2022,Export,6,62173.417
H6,SGP,91,Singapore,USA,United States,2022,Import,5,10203.468
H6,SGP,91,Singapore,USA,United States,2023,Export,6,63176.401
H6,SGP,91,Singapore,USA,United States,2023,Import,5,10632.787
H6,SGP,92,Singapore,CHN,China,2022,Export,6,2687.689
H6,SGP,92,Singapore,CHN,China,2022,Import,5,13438.572
H6,SGP,92,Singapore,CHN,China,2023,Export,6,1798.634
H6,SGP,92,Singapore,CHN,China,2023,Import,5,13037.693
H6,SGP,92,Singapore,HKG,"Hong Kong, China",2022,Export,6,746.75
H6,SGP,92,Singapore,HKG,"Hong Kong, China",2022,Import,5,223.897
H6,SGP,92,Singapore,HKG,"Hong Kong, China",2023,Export,6,1054.535
H6,SGP,92,Singapore,HKG,"Hong Kong, China",2023,Import,5,41.252
H6,SGP,92,Singapore,IDN,Indonesia,2022,Export,6,7512.512
H6,SGP,92,Singapore,IDN,Indonesia,2022,Import,5,9801.791
H6,SGP,92,Singapore,IDN,Indonesia,2023,Export,6,9229.477
H6,SGP,92,Singapore,IDN,Indonesia,2023,Import,5,8121.137
H6,SGP,92,Singapore,JPN,Japan,2022,Export,6,1456.548
H6,SGP,92,Singapore,JPN,Japan,2022,Import,5,12354.984
H6,SGP,92,Singapore,JPN,Japan,2023,Export,6,62.326
H6,SGP,92,Singapore,JPN,Japan,2023,Import,5,12500.206
H6,SGP,92,Singapore,KOR,"Korea, Rep.",2022,Export,6,3.103
H6,SGP,92,Singapore,KOR,"Korea, Rep.",2022,Import,5,278.861
H6,SGP,92,Singapore,KOR,"Korea, Rep.",2023,Export,6,178.001
H6,SGP,92,Singapore,KOR,"Korea, Rep.",2023,Import,5,249.972
H6,SGP,92,Singapore,MYS,Malaysia,2022,Export,6,5134.678
H6,SGP,92,Singapore,MYS,Malaysia,2022,Import,5,2321.304
H6,SGP,92,Singapore,MYS,Malaysia,2023,Export,6,5146.274
H6,SGP,92,Singapore,MYS,Malaysia,2023,Import,5,1970.693
H6,SGP,92,Singapore,SAU,Saudi Arabia,2023,Import,5,2.403
H6,SGP,92,Singapore,THA,Thailand,2022,Export,6,263.503
H6,SGP,92,Singapore,THA,Thailand,2022,Import,5,123.105
H6,SGP,92,Singapore,THA,Thailand,2023,Export,6,539.878
H6,SGP,92,Singapore,THA,Thailand,2023,Import,5,152.607
H6,SGP,92,Singapore,USA,United States,2022,Export,6,900.305
H6,SGP,92,Singapore,USA,United States,2022,Import,5,10509.491
H6,SGP,92,Singapore,USA,United States,2023,Export,6,323.876
H6,SGP,92,Singapore,USA,United States,2023,Import,5,13255.371
H6,SGP,93,Singapore,CHN,China,2022,Import,5,14.932
H6,SGP,93,Singapore,CHN,China,2023,Import,5,76.297
H6,SGP,93,Singapore,IDN,Indonesia,2022,Export,6,42.561
H6,SGP,93,Singapore,JPN,Japan,2022,Export,6,0.101
H6,SGP,93,Singapore,JPN,Japan,2022,Import,5,11.79
H6,SGP,93,Singapore,KOR,"Korea, Rep.",2022,Export,6,21.392
H6,SGP,93,Singapore,KOR,"Korea, Rep.",2022,Import,5,4.192
H6,SGP,93,Singapore,KOR,"Korea, Rep.",2023,Export,6,13.097
H6,SGP,93,Singapore,MYS,Malaysia,2022,Export,6,65.938
H6,SGP,93,Singapore,MYS,Malaysia,2023,Export,6,4.468
H6,SGP,93,Singapore,THA,Thailand,2023,Export,6,0.946
H6,SGP,93,Singapore,USA,United States,2022,Export,6,1508.972
H6,SGP,93,Singapore,USA,United States,2022,Import,5,317.66
H6,SGP,93,Singapore,USA,United States,2023,Export,6,43.389
H6,SGP,93,Singapore,USA,United States,2023,Import,5,2276.255
H6,SGP,94,Singapore,CHN,China,2022,Export,6,20573.048
H6,SGP,94,Singapore,CHN,China,2022,Import,5,578521.872
H6,SGP,94,Singapore,CHN,China,2023,Export,6,22301.807
H6,SGP,94,Singapore,CHN,China,2023,Import,5,603697.23
H6,SGP,94,Singapore,HKG,"Hong Kong, China",2022,Export,6,9828.894
H6,SGP,94,Singapore,HKG,"Hong Kong, China",2022,Import,5,3659.552
H6,SGP,94,Singapore,HKG,"Hong Kong, China",2023,Export,6,9135.74
H6,SGP,94,Singapore,HKG,"Hong Kong, China",2023,Import,5,4547.886
H6,SGP,94,Singapore,IDN,Indonesia,2022,Export,6,49133.227
H6,SGP,94,Singapore,IDN,Indonesia,2022,Import,5,54661.816
H6,SGP,94,Singapore,IDN,Indonesia,2023,Export,6,64631.365
H6,SGP,94,Singapore,IDN,Indonesia,2023,Import,5,55107.84
H6,SGP,94,Singapore,JPN,Japan,2022,Export,6,12717.413
H6,SGP,94,Singapore,JPN,Japan,2022,Import,5,21773.271
H6,SGP,94,Singapore,JPN,Japan,2023,Export,6,20957.002
H6,SGP,94,Singapore,JPN,Japan,2023,Import,5,21715.274
H6,SGP,94,Singapore,KOR,"Korea, Rep.",2022,Export,6,9080.663
H6,SGP,94,Singapore,KOR,"Korea, Rep.",2022,Import,5,6701.433
H6,SGP,94,Singapore,KOR,"Korea, Rep.",2023,Export,6,15757.408
H6,SGP,94,Singapore,KOR,"Korea, Rep.",2023,Import,5,10683.845
H6,SGP,94,Singapore,MYS,Malaysia,2022,Export,6,34506.949
H6,SGP,94,Singapore,MYS,Malaysia,2022,Import,5,258506.328
