Country,year,Geopolitical_Score
China,2013,103.69848371891172
China,2014,103.63860851033436
China,2015,103.17215696619905
China,2016,101.87414825395396
China,2017,101.60674744485556
China,2018,98.94894443521474
China,2019,98.63359649725072
China,2020,98.8224009081465
China,2021,96.00467892249867
China,2022,98.67695633080703
China,2023,97.46817665257763
Indonesia,2013,127.79470959891415
Indonesia,2014,129.65075116344494
Indonesia,2015,128.68732826855106
Indonesia,2016,127.67398801679138
Indonesia,2017,126.20717841798307
Indonesia,2018,127.37173206713712
Indonesia,2019,125.43941711552597
Indonesia,2020,126.86679579874982
Indonesia,2021,125.10121205487701
Indonesia,2022,124.26907536176839
Indonesia,2023,123.47006169250312
Japan,2013,114.14094068053558
Japan,2014,114.86255853505816
Japan,2015,115.94686419702634
Japan,2016,114.62669869078542
Japan,2017,114.9071170866944
Japan,2018,113.78075251644736
Japan,2019,113.52451255803666
Japan,2020,112.85216520771144
Japan,2021,113.49418008260048
Japan,2022,115.52817826340709
Japan,2023,115.57805166875832
Malaysia,2013,144.84960868760564
Malaysia,2014,145.7190375845968
Malaysia,2015,145.75465362903714
Malaysia,2016,145.87380939883565
Malaysia,2017,144.86729392661215
Malaysia,2018,144.46107751760667
Malaysia,2019,143.97407410846293
Malaysia,2020,145.36086736507616
Malaysia,2021,143.9976232994692
Malaysia,2022,143.02407844263473
Malaysia,2023,143.51095982030455
Saudi Arabia,2013,167.2752536378168
Saudi Arabia,2014,136.61307248960466
Saudi Arabia,2015,136.79151386026317
Saudi Arabia,2016,136.42304595059895
Saudi Arabia,2017,135.53195510306935
Saudi Arabia,2018,134.05185622205929
Saudi Arabia,2019,133.17698317508567
Saudi Arabia,2020,135.52178452421654
Saudi Arabia,2021,132.96640756868445
Saudi Arabia,2022,131.28631807465948
Saudi Arabia,2023,131.88902373952138
Thailand,2013,141.00437817567763
Thailand,2014,140.54498991202132
Thailand,2015,141.4942041914064
Thailand,2016,140.8461491727195
Thailand,2017,139.85051127848035
Thailand,2018,138.0633831066725
Thailand,2019,137.03415730254468
Thailand,2020,138.1098771317206
Thailand,2021,138.07892536461497
Thailand,2022,138.18132163750388
Thailand,2023,137.6890443693163
United States,2013,110.3526325705617
United States,2014,109.0336912426539
United States,2015,109.10824115773903
United States,2016,108.45636417501657
United States,2017,108.91824136150723
United States,2018,107.11806850892026
United States,2019,106.49332716444235
United States,2020,106.52933410562179
United States,2021,105.0635345065869
United States,2022,103.12409258953716
United States,2023,102.38032482623396
